"time","dist"
0,0.267714036971394
1,0.26851298555382
2,0.269314302305569
3,0.270117994149548
4,0.270924068028323
5,0.271732530904173
6,0.272543389759143
7,0.273356651595095
8,0.274172323433763
9,0.274990412316802
10,0.275810925305846
11,0.276633869482557
12,0.27745925194868
13,0.278287079826097
14,0.279117360256877
15,0.279950100403336
16,0.280785307448082
17,0.281622988594076
18,0.282463151064685
19,0.283305802103731
20,0.284150948975551
21,0.284998598965048
22,0.285848759377747
23,0.286701437539847
24,0.28755664079828
25,0.288414376520762
26,0.289274652095848
27,0.29013747493299
28,0.29100285246259
29,0.291870792136053
30,0.292741301425849
31,0.293614387825561
32,0.294490058849945
33,0.295368322034984
34,0.296249184937947
35,0.29713265513744
36,0.298018740233465
37,0.298907447847477
38,0.299798785622438
39,0.300692761222874
40,0.301589382334936
41,0.302488656666448
42,0.303390591946971
43,0.304295195927859
44,0.305202476382313
45,0.30611244110544
46,0.307025097914312
47,0.30794045464802
48,0.308858519167735
49,0.309779299356761
50,0.3107028031206
51,0.311629038387003
52,0.312558013106032
53,0.313489735250116
54,0.314424212814112
55,0.315361453815361
56,0.316301466293746
57,0.317244258311755
58,0.318189837954534
59,0.31913821332995
60,0.32008939256865
61,0.321043383824117
62,0.322000195272732
63,0.322959835113835
64,0.323922311569778
65,0.324887632885992
66,0.325855807331044
67,0.326826843196695
68,0.327800748797964
69,0.328777532473183
70,0.329757202584063
71,0.33073976751575
72,0.331725235676888
73,0.33271361549968
74,0.333704915439945
75,0.334699143977184
76,0.335696309614638
77,0.336696420879349
78,0.337699486322224
79,0.338705514518094
80,0.339714514065774
81,0.340726493588131
82,0.341741461732137
83,0.34275942716894
84,0.343780398593919
85,0.344804384726749
86,0.345831394311464
87,0.346861436116519
88,0.34789451893485
89,0.34893065158394
90,0.349969842905882
91,0.35101210176744
92,0.352057437060111
93,0.35310585770019
94,0.354157372628836
95,0.35521199081213
96,0.356269721241141
97,0.357330572931991
98,0.358394554925918
99,0.359461676289338
100,0.360531946113913
101,0.36160537351661
102,0.362681967639771
103,0.363761737651173
104,0.364844692744094
105,0.36593084213738
106,0.367020195075504
107,0.36811276082864
108,0.369208548692718
109,0.370307567989496
110,0.371409828066623
111,0.372515338297706
112,0.373624108082372
113,0.374736146846339
114,0.375851464041476
115,0.376970069145874
116,0.37809197166391
117,0.379217181126311
118,0.380345707090224
119,0.381477559139281
120,0.382612746883667
121,0.383751279960182
122,0.384893168032314
123,0.386038420790301
124,0.387187047951203
125,0.388339059258963
126,0.38949446448448
127,0.390653273425674
128,0.391815495907553
129,0.392981141782282
130,0.394150220929251
131,0.395322743255141
132,0.396498718693996
133,0.397678157207285
134,0.398861068783977
135,0.400047463440606
136,0.401237351221338
137,0.402430742198045
138,0.40362764647037
139,0.404828074165793
140,0.406032035439709
141,0.407239540475488
142,0.408450599484551
143,0.409665222706435
144,0.410883420408865
145,0.412105202887824
146,0.41333058046762
147,0.414559563500959
148,0.415792162369014
149,0.417028387481497
150,0.418268249276723
151,0.419511758221689
152,0.42075892481214
153,0.422009759572639
154,0.42326427305664
155,0.424522475846557
156,0.425784378553839
157,0.427049991819035
158,0.428319326311871
159,0.429592392731318
160,0.430869201805665
161,0.43214976429259
162,0.433434090979234
163,0.434722192682269
164,0.436014080247974
165,0.437309764552303
166,0.438609256500962
167,0.439912567029479
168,0.441219707103275
169,0.44253068771774
170,0.443845519898303
171,0.445164214700506
172,0.446486783210079
173,0.44781323654301
174,0.449143585845617
175,0.450477842294628
176,0.451816017097248
177,0.453158121491234
178,0.454504166744974
179,0.455854164157552
180,0.457208125058829
181,0.458566060809514
182,0.459927982801239
183,0.461293902456634
184,0.462663831229398
185,0.464037780604382
186,0.465415762097651
187,0.466797787256571
188,0.468183867659877
189,0.469574014917749
190,0.470968240671889
191,0.472366556595595
192,0.473768974393837
193,0.47517550580333
194,0.476586162592617
195,0.478000956562133
196,0.479419899544293
197,0.480843003403558
198,0.482270280036518
199,0.483701741371964
200,0.485137399370969
201,0.486577266026959
202,0.488021353365792
203,0.489469673445834
204,0.490922238358039
205,0.492379060226022
206,0.493840151206136
207,0.495305523487551
208,0.496775189292332
209,0.498249160875515
210,0.499727450525182
211,0.501210070562543
212,0.502697033342012
213,0.504188351251282
214,0.505684036711408
215,0.50718410217688
216,0.508688560135707
217,0.510197423109486
218,0.511710703653492
219,0.513228414356746
220,0.5147505678421
221,0.516277176766314
222,0.517808253820132
223,0.519343811728365
224,0.520883863249968
225,0.52242842117812
226,0.5239774983403
227,0.525531107598372
228,0.527089261848659
229,0.528651974022024
230,0.530219257083951
231,0.531791124034626
232,0.533367587909011
233,0.534948661776931
234,0.536534358743148
235,0.538124691947445
236,0.539719674564706
237,0.541319319804993
238,0.542923640913629
239,0.544532651171281
240,0.546146363894035
241,0.547764792433481
242,0.549387950176792
243,0.551015850546803
244,0.552648507002099
245,0.554285933037088
246,0.555928142182085
247,0.557575148003398
248,0.5592269641034
249,0.56088360412062
250,0.562545081729819
251,0.564211410642072
252,0.565882604604852
253,0.567558677402111
254,0.56923964285436
255,0.570925514818754
256,0.572616307189173
257,0.574312033896305
258,0.576012708907725
259,0.577718346227981
260,0.579428959898676
261,0.581144563998549
262,0.582865172643558
263,0.584590799986967
264,0.58632146021942
265,0.588057167569034
266,0.589797936301474
267,0.591543780720041
268,0.593294715165752
269,0.595050754017427
270,0.596811911691768
271,0.598578202643447
272,0.600349641365184
273,0.602126242387838
274,0.603908020280482
275,0.605694989650495
276,0.607487165143639
277,0.609284561444149
278,0.611087193274812
