YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1996-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1996-01-01,8:00,88.1,125.1,23,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,10,0,16,3,10,6,10,66,16,4,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.076,1,0.368,1,0.51,0
1996-01-01,9:00,82.2,133.4,192,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,53,10,66,16,44,10,95,10,428,16,37,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.076,1,0.368,1,0.51,0
1996-01-01,10:00,75.3,145.6,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,220,10,650,16,56,10,220,10,650,16,56,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.076,1,0.368,1,0.51,0
1996-01-01,11:00,70.4,159.1,476,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,315,10,721,16,72,10,319,10,748,16,68,10,-9900,99,-9900,99,-9900,99,0.5,1,0.053,1,0.076,1,0.368,1,0.51,0
1996-01-01,12:00,67.8,173.6,534,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,371,10,785,16,74,10,371,10,785,16,74,10,-9900,99,-9900,99,-9900,99,0.5,1,0.053,1,0.076,1,0.368,1,0.51,0
1996-01-01,13:00,68.0,188.4,530,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,361,10,753,16,79,10,367,10,782,16,74,10,-9900,99,-9900,99,-9900,99,0.5,1,0.053,1,0.076,1,0.368,1,0.51,0
