YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1992-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.215,1,0.340,1,0.51,0
1992-01-01,8:00,88.1,125.1,23,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,4,10,1,16,4,10,4,10,1,16,4,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,9:00,82.2,133.4,192,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,70,10,102,16,56,10,70,10,102,16,56,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,10:00,75.3,145.6,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,173,10,293,16,99,10,173,10,293,16,99,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,11:00,70.4,159.1,476,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,265,10,408,16,128,10,265,10,408,16,128,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,12:00,67.8,173.6,534,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,315,10,457,16,142,10,315,10,457,16,142,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,13:00,68.0,188.4,530,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,311,10,454,16,141,10,311,10,454,16,141,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,14:00,70.9,202.8,463,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,255,10,397,16,125,10,255,10,397,16,125,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,15:00,76.1,216.1,339,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,160,10,272,16,94,10,160,10,272,16,94,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,16:00,83.2,228.1,167,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,58,10,76,16,49,10,58,10,76,16,49,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,17:00,88.6,235.6,12,507,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,10,0,16,2,10,2,10,0,16,2,10,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.215,1,0.279,1,0.340,1,0.51,0
1992-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.279,1,0.346,1,0.51,0
1992-01-02,8:00,88.1,125.0,23,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,5,10,0,16,5,10,4,10,0,16,4,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,9:00,82.2,133.3,192,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,73,10,22,16,70,10,64,10,30,16,60,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,10:00,75.3,145.5,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,137,10,29,16,129,10,152,10,150,16,114,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,11:00,70.3,158.9,477,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,240,10,194,16,174,10,236,10,245,16,154,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,12:00,67.8,173.4,536,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,260,10,101,16,221,10,284,10,290,16,174,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,13:00,67.9,188.3,532,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,286,10,233,16,198,10,281,10,287,16,172,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
1992-01-02,14:00,70.8,202.7,466,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,230,10,157,16,178,10,228,10,236,16,150,10,-9900,99,-9900,99,-9900,99,0.7,1,0.216,1,0.451,1,0.346,1,0.51,0
