YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.053,1,0.053,1,0.386,2,0.51,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.053,1,0.053,1,0.386,51,0.51,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.053,1,0.053,1,0.387,51,0.51,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.053,1,0.053,1,0.387,51,0.51,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.053,1,0.387,51,0.51,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.053,1,0.387,51,0.51,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.053,1,0.053,1,0.388,51,0.51,0
2010-01-01,8:00,88.1,125.1,23,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,25,0,28,3,25,9,10,155,16,4,10,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.030,1,0.388,51,0.51,0
2010-01-01,9:00,82.2,133.4,192,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,45,25,0,28,45,25,103,10,571,16,25,10,-9900,99,-9900,99,-9900,99,0.9,51,0.053,1,0.030,1,0.388,51,0.51,0
2010-01-01,10:00,75.3,145.5,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,91,24,0,27,91,24,230,10,756,16,38,10,-9900,99,-9900,99,-9900,99,0.9,3,0.053,1,0.030,1,0.389,51,0.51,0
