YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2005-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.053,1,0.053,1,0.280,2,0.51,0
2005-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.053,1,0.053,1,0.288,2,0.51,0
2005-01-01,8:00,88.1,125.0,23,696,4,1,9,36,1,21,3,1,9,4,10,0,16,4,10,7,10,68,16,4,10,-9900,99,-9900,99,-9900,99,1.1,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,9:00,82.2,133.3,192,1415,72,0,9,155,0,21,51,0,9,35,10,0,16,35,10,95,10,426,16,37,10,-9900,99,-9900,99,-9900,99,1.1,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,10:00,75.3,145.5,359,1415,156,0,9,226,0,21,99,0,9,77,24,0,27,77,24,218,10,643,16,55,10,-9900,99,-9900,99,-9900,99,1.0,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,11:00,70.3,159.0,477,1415,56,0,9,0,0,21,56,0,9,110,10,0,16,110,10,316,10,740,16,67,10,-9900,99,-9900,99,-9900,99,1.0,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,12:00,67.8,173.5,535,1415,64,0,9,0,0,21,64,0,9,128,10,0,16,128,10,368,10,779,16,73,10,-9900,99,-9900,99,-9900,99,0.9,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,13:00,67.9,188.3,532,1415,63,0,9,0,0,21,63,0,9,127,24,0,27,127,24,365,10,778,16,73,10,-9900,99,-9900,99,-9900,99,0.9,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,14:00,70.8,202.8,466,1415,54,0,9,0,0,21,54,0,9,107,24,0,27,107,24,308,10,736,16,66,10,-9900,99,-9900,99,-9900,99,0.8,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,15:00,76.0,216.1,342,1415,156,0,9,186,0,21,111,0,9,72,24,0,27,72,24,206,10,631,16,53,10,-9900,99,-9900,99,-9900,99,0.8,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,16:00,83.1,228.1,170,1415,99,0,9,334,0,21,59,0,9,50,24,120,27,36,24,81,10,392,16,34,10,-9900,99,-9900,99,-9900,99,0.8,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,17:00,88.6,235.7,13,531,4,1,9,57,1,21,2,1,9,3,24,36,27,2,24,3,10,46,16,2,10,-9900,99,-9900,99,-9900,99,0.7,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.053,1,0.073,1,0.288,2,0.51,0
2005-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.053,1,0.073,1,0.250,2,0.51,0
2005-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.053,1,0.073,1,0.250,2,0.51,0
2005-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.053,1,0.073,1,0.250,2,0.51,0
