YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1994-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.067,1,0.301,1,0.51,0
1994-01-01,8:00,88.1,125.1,23,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,10,0,16,3,10,8,10,140,16,4,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,9:00,82.2,133.4,192,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,42,10,0,16,42,10,103,10,552,16,28,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,10:00,75.3,145.5,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,184,10,88,16,162,10,230,10,744,16,41,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,11:00,70.3,159.0,476,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,289,10,107,16,253,10,329,10,827,16,51,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,12:00,67.8,173.5,535,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,270,10,124,16,223,10,380,10,859,16,56,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,13:00,68.0,188.4,531,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,327,10,181,16,259,10,377,10,857,16,55,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,14:00,70.8,202.8,465,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,148,10,0,16,148,10,319,10,820,16,50,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,15:00,76.1,216.1,341,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,127,10,38,16,118,10,216,10,729,16,40,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,16:00,83.1,228.1,169,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,45,10,0,16,45,10,87,10,515,16,26,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,17:00,88.6,235.6,13,507,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,10,0,16,2,10,4,10,97,16,2,10,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
1994-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.067,1,0.037,1,0.301,1,0.51,0
