YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2006-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.053,1,0.053,1,0.344,2,0.51,0
2006-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.053,1,0.053,1,0.341,51,0.51,0
2006-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.053,1,0.053,1,0.339,51,0.51,0
2006-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.053,1,0.053,1,0.336,51,0.51,0
2006-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.053,1,0.053,1,0.334,51,0.51,0
2006-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.053,1,0.331,51,0.51,0
2006-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.053,1,0.053,1,0.329,51,0.51,0
2006-01-01,8:00,88.1,125.1,23,696,5,1,9,37,1,21,4,1,9,3,25,0,28,3,25,9,10,151,16,4,10,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.032,1,0.326,51,0.51,0
2006-01-01,9:00,82.2,133.4,192,1415,90,0,9,159,0,21,68,0,9,44,25,0,28,44,25,103,10,566,16,26,10,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.032,1,0.324,51,0.51,0
2006-01-01,10:00,75.3,145.5,359,1415,87,0,9,0,0,21,87,0,9,90,24,0,27,90,24,230,10,753,16,39,10,-9900,99,-9900,99,-9900,99,1.0,3,0.053,1,0.032,1,0.321,51,0.51,0
2006-01-01,11:00,70.3,159.0,476,1415,56,0,9,0,0,21,56,0,9,124,25,0,28,124,25,329,10,833,16,48,10,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.032,1,0.319,51,0.51,0
2006-01-01,12:00,67.8,173.5,535,1415,64,0,9,0,0,21,64,0,9,141,25,0,28,141,25,380,10,864,16,53,10,-9900,99,-9900,99,-9900,99,1.0,51,0.053,1,0.032,1,0.316,51,0.51,0
