YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1999-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.053,1,0.368,1,0.51,0
1999-01-01,8:00,88.1,125.1,23,696,3,1,9,0,1,21,3,1,9,2,24,0,27,2,24,9,10,174,16,4,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.027,1,0.368,1,0.51,0
1999-01-01,9:00,82.2,133.4,192,1415,47,0,9,0,0,21,47,0,9,38,10,0,16,38,10,107,10,606,16,25,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.027,1,0.368,1,0.51,0
1999-01-01,10:00,75.3,145.6,359,1415,91,0,9,0,0,21,91,0,9,127,10,1,16,127,10,238,10,791,16,37,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.027,1,0.368,1,0.51,0
1999-01-01,11:00,70.3,159.0,476,1415,145,0,9,16,0,21,140,0,9,338,10,281,16,244,10,338,10,869,16,46,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.027,1,0.368,1,0.51,0
1999-01-01,12:00,67.8,173.5,534,1415,164,0,9,17,0,21,158,0,9,120,10,0,16,120,10,390,10,899,16,50,10,-9900,99,-9900,99,-9900,99,0.4,1,0.053,1,0.027,1,0.368,1,0.51,0
